topic_id,headline_topic,news_outlet,url
1,"No Malaysians on hantavirus-hit cruise ship, says Dzulkefly
",Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/08/no-malaysians-aboard-hantavirus-linked-cruise-ship-says-dzulkefly/219162
1,"No Malaysians on hantavirus-hit cruise ship, says Dzulkefly
",Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2026/05/08/no-malaysians-on-hantavirus-hit-cruise-ship-says-dzulkefly
1,"No Malaysians on hantavirus-hit cruise ship, says Dzulkefly
",NST,https://www.nst.com.my/news/nation/2026/05/1435063/dzulkefly-no-malaysians-cruise-ship-linked-hantavirus-outbreak
1,"No Malaysians on hantavirus-hit cruise ship, says Dzulkefly
",The Edge Malaysia,https://theedgemalaysia.com/node/802976
1,"No Malaysians on hantavirus-hit cruise ship, says Dzulkefly
",Bernama,https://bernama.com/en/general/news.php?id=2555210
1,"No Malaysians on hantavirus-hit cruise ship, says Dzulkefly
",The Sun Malaysia,https://thesun.my/news/malaysia-news/no-malaysians-hantavirus-cluster/
1,"No Malaysians on hantavirus-hit cruise ship, says Dzulkefly
",The Strait Times,https://www.straitstimes.com/asia/se-asia/no-malaysians-on-board-hantavirus-hit-mv-hondius-cruise-ship
1,"No Malaysians on hantavirus-hit cruise ship, says Dzulkefly
",The Rakyat Post,https://www.therakyatpost.com/news/2026/05/11/hantavirus-what-is-it-whats-the-situation-in-malaysia/
1,"No Malaysians on hantavirus-hit cruise ship, says Dzulkefly
",The Star,https://www.thestar.com.my/news/nation/2026/05/08/no-malaysians-on-hantavirus-hit-cruise-ship-says-dzulkefly
2,Penang keeps chief minister term limit at two terms,Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/11/penang-has-no-plans-to-extend-chief-minister-term-limit-beyond-two-terms-says-chow-kon-yeow/219488
2,Penang keeps chief minister term limit at two terms,Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2023/07/30/no-amendment-to-constitution-on-2-term-limit-for-cm-says-chow
2,Penang keeps chief minister term limit at two terms,NST,https://www.nst.com.my/news/nation/2026/05/1437008/penang-has-no-plans-amend-two-term-limit-chief-minister-says-chow
2,Penang keeps chief minister term limit at two terms,The Edge Malaysia,https://theedgemalaysia.com/node/803015
2,Penang keeps chief minister term limit at two terms,Bernama,https://bernama.com/en/general/news.php?id=2555399
2,Penang keeps chief minister term limit at two terms,The Sun Malaysia,https://thesun.my/news/malaysia-news/people-issues/penang-keeps-chief-minister-term-limit-at-two-terms/
2,Penang keeps chief minister term limit at two terms,The Star,https://www.thestar.com.my/news/nation/2026/05/11/no-plans-to-reword-penang-cm-term-limits-to-10-years-says-chow
2,Penang keeps chief minister term limit at two terms,The Malaysian Reserve,Chow: No plans to amend term limit for Chief Minister’s position
