topic_id,headline_topic,news_outlet,url,Raw_Text,Word_Count
1,"No Malaysians on hantavirus-hit cruise ship, says Dzulkefly
",Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/08/no-malaysians-aboard-hantavirus-linked-cruise-ship-says-dzulkefly/219162,"Health Minister Datuk Seri Dr Dzulkefly Ahmad today said no Malaysians were on board the MV Hondius cruise ship linked to a hantavirus outbreak, which had been en route to Spain’s Canary Islands. Dzulkefly said the Ministry of Health had taken note of reports on the outbreak and had contacted Singapore health authorities this morning for updates. “Although the situation is very much under control and does not involve our citizens, MOH will continue to closely monitor developments in this outbreak at the global and regional levels to ensure the country’s border preparedness and health system remain at the highest level,” he said in a Facebook post. He said Singapore health authorities also confirmed that two Singaporean crew members had tested negative for hantavirus, while contact tracing was ongoing. Dzulkefly said hantavirus is a rodent-borne virus that can spread to humans through air contaminated with droppings, urine or saliva, adding that Hantavirus Pulmonary Syndrome can have a fatality rate of 30 to 40 per cent. “The public need not panic, but we must remain vigilant,” he said, urging the public to keep homes and workplaces clean from pest threats. The World Health Organisation said yesterday that eight cases had been reported in the outbreak linked to the MV Hondius, comprising five confirmed infections and three deaths. Reuters reported that Singapore had isolated and was testing two male residents who had been on board the ship after possible exposure, while Singapore authorities said the overall public risk remained low.",248
1,"No Malaysians on hantavirus-hit cruise ship, says Dzulkefly
",Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2026/05/08/no-malaysians-on-hantavirus-hit-cruise-ship-says-dzulkefly,"Dzulkefly said the ministry had taken note of reports on the outbreak on the MV Hondius, and had contacted Singapore health authorities whose two crew members onboard later tested negative for the virus. “Although the situation is under control and does not involve Malaysians, the health ministry will continue to closely monitor developments at the global and regional levels to ensure that the country’s border preparedness and healthcare system remain at the highest level,” he said in a Facebook post. Dzulkefly also warned that the infection should not be taken lightly, as complications can be fatal, with the mortality rate for hantavirus pulmonary syndrome reaching between 30% and 40%. As there is currently no specific antiviral treatment, he said prevention and self-protection remain the strongest defence. “The public does not need to panic, but we must remain vigilant,” he said, urging people to keep homes and workplaces clean and free from pest infestations. Health authorities have identified the virus involved as the Andes strain of hantavirus, which is unusual because it can spread between humans through close and prolonged contact. The disease is more commonly spread through exposure to infected rodent urine, droppings, or saliva. Countries around the world are tracing passengers from the virus-hit ship to prevent any further spread. Three people – a Dutch couple and a German national – died in the outbreak, while eight people are believed to have contracted the virus. The World Health Organization said it expects the outbreak on the MV Hondius, currently sailing from Cape Verde to the Spanish island of Tenerife, to be limited, as long as public health measures are properly implemented. Stay current - Follow FMT on WhatsApp, Google news and Telegram Subscribe to our newsletter and get news delivered to your mailbox. Registration on or use of this site constitutes acceptance of our Terms of Service, Privacy Policy and Cookies Policy. Copyright © 2009 - 2026 FMT Media Sdn Bhd (1235453-U) All Rights Reserved.",326
1,"No Malaysians on hantavirus-hit cruise ship, says Dzulkefly
",The Edge Malaysia,https://theedgemalaysia.com/node/802976,"Malaysia is on full alert to face the threat of hantavirus infection, although no cases involving Malaysians have been recorded thus far. Health Minister Datuk Seri Dr Dzulkefly Ahmad said the approach is crucial as public health challenges are now global in nature, and no country is truly safe without continuous precautionary measures. “We do not want to be an alarmist, but at the same time, we do not want the people to be complacent by saying that this is happening elsewhere (abroad),” he told reporters after attending the closing ceremony of the National Tobacco Control Conference and Lung Health Summit 2026 here on Sunday. He said the Health Ministry’s Institute for Medical Research (IMR) has the capacity to diagnose hantavirus using Polymerase Chain Reaction (PCR) technology, which is the gold standard for disease detection. In addition, border control measures at all international entry points have been tightened through health screenings and heightened preparedness at airports, seaports and major gateways by the International Entry Point Health Office. As part of ongoing preventive measures, Dzulkefly said to date, a total of 22,367 ships and boats have been inspected at Malaysia’s entry points, with 2,421 pratique certificates and 1,146 Ship Sanitation Certificates (SSC) issued. “These measures are ongoing to ensure that vessels entering the country comply with public health requirements and sanitation,” he said. A pratique certificate is an official health clearance issued by port authorities that allows a vessel to enter a port, disembark passengers, and operate after being confirmed free of infectious diseases on board. Previously, Dzulkefly said hantavirus is a rodent-borne virus that can infect humans through air contaminated with animal droppings, urine or saliva. He said the virus should not be taken lightly, as its complications can be fatal, with the mortality rate for Hantavirus Pulmonary Syndrome (HPS) reaching 30% to 40%. International media had earlier reported that European countries have stepped up monitoring and isolation measures following a hantavirus outbreak linked to the Dutch-flagged cruise ship MV Hondius. Uploaded by Liza Shireen Koshy Copyright © 1999-2026 The Edge Communications Sdn. Bhd. 199301012242 (266980-X). All rights reserved",349
1,"No Malaysians on hantavirus-hit cruise ship, says Dzulkefly
",Bernama,https://bernama.com/en/general/news.php?id=2555210,"Malaysia is on full alert to face the threat of hantavirus infection, although no cases involving Malaysians have been recorded thus far. Health Minister Datuk Seri Dr Dzulkefly Ahmad said the approach is crucial as public health challenges are now global in nature, and no country is truly safe without continuous precautionary measures. “We do not want to be an alarmist, but at the same time, we do not want the people to be complacent by saying that this is happening elsewhere (abroad),” he told reporters after attending the closing ceremony of the National Tobacco Control Conference and Lung Health Summit 2026 here today. He said the Health Ministry’s Institute for Medical Research (IMR) has the capacity to diagnose hantavirus using Polymerase Chain Reaction (PCR) technology, which is the gold standard for disease detection. In addition, border control measures at all international entry points have been tightened through health screenings and heightened preparedness at airports, seaports and major gateways by the International Entry Point Health Office. As part of ongoing preventive measures, Dzulkefly said to date, a total of 22,367 ships and boats have been inspected at Malaysia’s entry points, with 2,421 pratique certificates and 1,146 Ship Sanitation Certificates (SSC) issued. “These measures are ongoing to ensure that vessels entering the country comply with public health requirements and sanitation,” he said. A pratique certificate is an official health clearance issued by port authorities that allows a vessel to enter port, disembark passengers, and operate after being confirmed free of infectious diseases on board. Previously, Dzulkefly said hantavirus is a rodent-borne virus that can infect humans through air contaminated with animal droppings, urine or saliva. He said the virus should not be taken lightly, as its complications can be fatal, with the mortality rate for Hantavirus Pulmonary Syndrome (HPS) reaching 30 to 40 per cent. International media had earlier reported that European countries have stepped up monitoring and isolation measures following a hantavirus outbreak linked to the Dutch-flagged cruise ship MV Hondius. BERNAMA provides up-to-date authentic and comprehensive news and information which are disseminated via BERNAMA Wires; www.bernama.com; BERNAMA TV on Astro 502, unifi TV 631 and MYTV 121 channels and BERNAMA Radio on FM93.9 (Klang Valley), FM107.5 (Johor Bahru), FM107.9 (Kota Kinabalu) and FM100.9 (Kuching) frequencies. Follow us on social media : Facebook : @bernamaofficial, @bernamatv, @bernamaradio Twitter : @bernama.com, @BernamaTV, @bernamaradio Instagram : @bernamaofficial, @bernamatvofficial, @bernamaradioofficial TikTok : @bernamaofficial BERNAMA, Pertubuhan Berita Nasional Malaysia merupakan Peneraju dalam perkhidmatan berita dan maklumat mempelawa calon warganegara Malaysia yang layak untuk menyertai kami : Sila layari portal kerjaya BERNAMA di https://kerjaya.bernama.com untuk maklumat lanjut. Permohonan hendaklah dibuat secara atas talian melalui portal kerjaya BERNAMA. PORTAL KERJAYA BERNAMA BERNAMA has never appointed any agent or individual for the purpose of recruiting its staff. Para Pelanggan Yang Dihormati, Dimaklumkan bahawa soal selidik ini bertujuan untuk mendapatkan maklum balas pelanggan berhubung tahap pengamalan nilai-nilai murni di jabatan/agensi Kerajaan yang memberikan perkhidmatan kepada tuan/puan. Berdasarkan pengalaman atau pemerhatian semasa berurusan dengan BERNAMA, sila beri maklum balas kepada pernyataan-pernyataan yang berikut dalam konteks semasa. Kami menghargai maklum balas yang jujur dan rasional daripada anda. Maklum balas yang diberikan adalah SULIT. Terima kasih kerana sudi meluangkan masa untuk mengisi soal selidik ini. Sila klik pautan berikut: https://insan.jpa.gov.my/survey/agency/f90b1f53-f177-4760-82c7-f5f9d30200c6 Wisma BERNAMA No.28 Jalan BERNAMA Off Jalan Tun Razak 50400 Kuala Lumpur Malaysia [click here] helpdesk[at]bernama.com • General • BernamaBiz • Crime & Courts • Politics • Sports • Lifestyle • World • Infographics • Videos • Exclusive Press • Archived • HAWANA 2026 • CPI • MAPO • MCMC • JPA • Fokus BERNAMA • Thoughts • MyCheck • fotoBERNAMA • Garasi • Central • Northern • Southern • East • Sabah • Sarawak • Corporate Site • Contact Us • BERNAMA Services • Kerjaya@BERNAMA • Quotation / Tender • Maklum Balas Pelanggan 2025 © 2026 BERNAMA • Disclaimer • Privacy Policy • Security Policy",645
1,"No Malaysians on hantavirus-hit cruise ship, says Dzulkefly
",The Strait Times,https://www.straitstimes.com/asia/se-asia/no-malaysians-on-board-hantavirus-hit-mv-hondius-cruise-ship,"Sign up now: Get insights on the biggest stories in Malaysia Dr Dzulkefly Ahmad said the country’s authorities are closely monitoring the hantavirus situation. Published May 09, 2026, 11:02 AM Updated May 09, 2026, 11:08 AM PETALING JAYA - No Malaysians are on board the international cruise ship where a hantavirus outbreak occurred, said its Health Minister. Dr Dzulkefly Ahmad said the country’s authorities are closely monitoring the hantavirus situation. “Although the situation remains well under control and does not involve any Malaysians, the ministry will continue to closely monitor developments surrounding the outbreak at both the global and regional levels. “This is to ensure the country’s border preparedness and healthcare system remain at the highest level of readiness,” he said. Hantavirus is a rodent-borne virus that spreads to humans through air contaminated by rodent droppings, urine or saliva. It was reported that three people – a Dutch couple and a German national – have died in the outbreak on the MV Hondius, while eight people are believed to have contracted the virus. Dr Dzulkefly said that following direct communication between his ministry and Singapore’s health authorities, it has been confirmed that two crew members onboard the ship, who are Singaporean nationals, had tested negative for hantavirus. The World Health Organisation said detailed investigations of the outbreak are ongoing, including further laboratory testing. Dr Dzulkefly said the infection should not be taken lightly, as its complications can potentially be fatal, with the mortality rate for Hantavirus Pulmonary Syndrome reaching between 30 per cent and 40 per cent. He added that as there is currently no specific antiviral treatment available, preventive measures and self-protection remain the strongest line of defence. In a separate statement, the Health Ministry said it is implementing several measures following the outbreak, including strengthening laboratory capacity to conduct confirmatory testing for new strains, including the Andes virus. It said that at present, the Institute for Medical Research has been conducting confirmatory tests for hantavirus infections, with an average annual request of 20 to 30 samples. “However, all results to date have been negative for hantavirus,” it said. The ministry added that it is strengthening surveillance at all international entry points, as well as enhancing the preparedness of healthcare facilities for early detection, notification and case management in the event of suspected cases. It said that from January to May 2, a total of 22,367 ships and boats were inspected at international entry points nationwide across various major ports. “The ministry advises the public to avoid direct contact with rats, rat faeces or urine, and to use gloves and masks when cleaning areas contaminated with rat droppings,” it said. THE STAR/ ASIA NEWS NETWORK Personal Data Protection Notice Need help? Reach us here.",455
1,"No Malaysians on hantavirus-hit cruise ship, says Dzulkefly
",The Rakyat Post,https://www.therakyatpost.com/news/2026/05/11/hantavirus-what-is-it-whats-the-situation-in-malaysia/,"Hantavirus is not on our shores yet, but we are already taking precautions based on what we have learned from the Covid-19 pandemic. , or Telegram and WhatsApp channels for the latest stories and updates. With Covid-19 still fresh on our minds, it’s understandable that we are all wary of the current Hantavirus cluster linked to the cruise ship MV Hondius. Here we attempt to explain what Hantavirus is and what it is not, especially why it’s not the same as Covid-19 nor will it be a pandemic (for now). Hantavirus is not new and it’s a virus that has been studied for decades. Hantaviruses is a family of viruses spread primarily by rodents (mice and rats) that can cause severe, often fatal, respiratory or renal illnesses in humans. The disease is spread by breathing in airborne particles from dried rodent urine, droppings, or saliva. The Andes (ANDV) strain is the only type of Hantavirus that is known to spread person-to-person. ANDV is primarily found in South America, and it causes severe Hantavirus Pulmonary Syndrome (HPS). Hantavirus cause two syndromes: Hantavirus pulmonary syndrome (HPS) is common in the Western hemisphere, while haemorrhagic fever with renal syndrome (HFRS) is found mostly in Europe and Asia. Hantavirus symptoms appear 1 to 8 weeks after exposure. It starts with flu-like symptoms such as: The illness progresses rapidly within 4 to 10 days later to severe, life-threatening symptoms, such as: A Hantavirus cluster formed aboard the MV Hondius cruise ship during a voyage that began in early April 2026. The outbreak is believed to have originated from a birdwatching excursion in Ushuaia, Argentina. A Dutch ornithologist Leo Schilperoord, 70, has been identified as the ‘’patient zero.’’ He was passionate about birdwatching, which led him to a landfill near the southern Argentine city of Ushuaia. It’s believed he contracted the rare Andes strain there. Schilperoord was the first patient to die of the virus on board the ship on 11 April 2026. His wife, Mirjam Schilperoord, 69, briefly accompanied his body back on a scheduled flight back to Netherlands before succumbing to the disease herself. She was too ill to board her connecting flight to the Netherlands and passed a few days later on 25 April in a Johannesburg hospital. As of 9 May 2026, three deaths have been reported following the outbreak on MV Hondius. In total, there are six confirmed cases and two probable cases so far. The relevant authorities are racing to trace dozens of people who disembarked from the cruise ship before the hantavirus outbreak was detected, and anyone who has come into close contact with them since. The World Health Organisation (WHO) said the outbreak is not the start of a pandemic like Covid-19 because the hantavirus spreads through “close, intimate contact.” According to the European Centre for Disease Prevention and Control (ECDC), the Andes strain doesn’t spread easily between people like Covid-19. Human-to-human transmission requires prolonged contact, and often in enclosed spaces. There’s no specific antiviral drug, but it’s manageable through supportive care, including rest and hydration. Supportive care is most effective when initiated early. In more serious cases, patients will require hospitalization, intensive care and respiratory support. First things first, avoid contact with rodents and their droppings. You can take precautions by sealing entry points at homes or sheds, using traps and cleaning contaminated areas safely. Make sure there’s ventilation in the space you’re cleaning. Do not clean dry rodent droppings by sweeping or vacuuming. To clean it up, use a 1:10 bleach solution and clean while wearing gloves and masks. Remember, the hantavirus enters our system when we inhale airborne particles from dried rodent urine, droppings, or saliva. Malaysia remains free of the hantavirus, but cautionary measures are being carried out. We have learned some things during the Covid-19 pandemic. The closest ‘’source’’ we have to the virus are the two people in Singapore who have been quarantined and closely monitored. READ MORE: Two Singaporeans Quarantined After Sharing Cruise & Flight With Infected Passenger According to The Star, Health Minister Datuk Seri Dr Dzulkefly Ahmad assured the public that Malaysia’s healthcare system is fully equipped to detect and treat the virus. The Institute for Medical Research (IMR) is ready to conduct polymerase chain reaction (PCR) tests, when the need arises. Health officers are also stationed at all international entry points and the ministry will continue strengthening sanitation activities. Additionally, there’s strict monitoring on the maritime sector. Health inspections are mandated for all ships and vessels entering Malaysian waters, especially those arriving from high-risk areas. Dzulkefly explains that a Pratique Certificate or Certificate of Free Pratique, is an official document issued by port health authorities for vessels that pass health checks. The certificate is extra assurance that the ship is free from infectious disease and is allowed to enter a port, board, or disembark. Dzulkefly emphasized that the country must remain vigilant against the hantavirus. We do not want to be alarmist, but we also do not want the people to be complacent. No country is safe unless we take precautionary measures and remain prepared. He urged the public to play their part by ensuring high levels of cleanliness to keep rodent populations at bay. He also advised those experiencing any symptoms to seek medical treatment immediately. Share your thoughts with us via TRP’s Facebook, Twitter, Instagram, or Threads. Get more stories like this to your inbox by signing up for our newsletter. © 2024 The Rakyat Post. All Rights Reserved. Owned by 3rd Wave Media Sdn Bhd Get more stories to your inbox by signing up for our newsletter. Subscribe to our Telegram and WhatsApp channels for the latest stories and updates.",945
1,"No Malaysians on hantavirus-hit cruise ship, says Dzulkefly
",The Star,https://www.thestar.com.my/news/nation/2026/05/08/no-malaysians-on-hantavirus-hit-cruise-ship-says-dzulkefly,"you've earned. at Nexus before they expire. KUALA LUMPUR: No Malaysians were on board the international cruise ship that reported a hantavirus outbreak, says Health Minister Datuk Seri Dr Dzulkefly Ahmad (pic). He said the Health Ministry took note of the reported hantavirus cases aboard the vessel. ""I would like to assure the people that there are no Malaysians on board the cruise ship. ""Based on a follow-up this morning (Friday, May 8) by the ministry that has direct communications with Singapore's health authority, it was confirmed that the ship's two Singaporean crew members tested negative for hantavirus, while the contact detection process is currently underway. ""Although the situation is controlled and does not involve our citizens, we will continue to monitor developments at the global and regional level. ""This is to ensure that we are prepared and the health system is at its highest level,"" he said in a statement issued via his social media. He shared that hantavirus is a type of rat-borne virus that spreads to humans through air contaminated with the animal's waste, urine or saliva. ""This infection should not be underestimated as it has potentially fatal complications, with the mortality rate for hantavirus pulmonary syndrome (HPS) reaching 30% to 40%. ""As there is no specific antivirus medication at present, preventive measures and self-control are our most powerful defence. ""The people do not have to panic, but we must remain vigilant,"" he said. He also shared infographics describing the virus, its origins, spread, symptoms, diagnosis, treatment and prevention tips. ""I urge the entire community to refer to this infographic series and always ensure the cleanliness of your residence as well as work premises to be protected from the threaf of pests,"" he said. It was reported earlier on Friday that three people – a Dutch couple and a German national – ⁠have died in the outbreak ⁠on the MV Hondius, while eight people are believed to have ⁠contracted ‌the virus. Thank you for your report! Copyright © 1995- Star Media Group Berhad [197101000523 (10894-D)] Best viewed on Chrome browsers. We would love to keep you posted on the latest promotion. Kindly fill the form below We hope you enjoy this feature!",365
2,Penang keeps chief minister term limit at two terms,Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/11/penang-has-no-plans-to-extend-chief-minister-term-limit-beyond-two-terms-says-chow-kon-yeow/219488,"The Penang government currently has no plans to amend the chief minister’s two-term limit to 10 years, Chief Minister Chow Kon Yeow said today. Chow (PH–Padang Kota) said the existing provisions in the Penang Constitution are already clear on the limit for holding the post. He said Article 7 Clause 2(a) of the state constitution stipulates that the Yang di-Pertua Negeri shall appoint as chief minister a state assemblyman who commands the confidence of the majority and who has never at any time held the office for two terms. “In situations where the state legislative assembly is dissolved before a term reaches five years, the term ‘two terms’ should be understood as a cumulative calculation of the years involved in the first and second terms,” he said during the state assembly sitting today. He added that while the combined duration of two terms may be less than 10 years, it cannot exceed 10 years. Chow was responding to a question from Lee Khai Loon (PH–Machang Bubuk) on whether the state government was prepared to amend the chief minister’s term limit to 10 years. Penang became the first state in Malaysia to formally legislate a two-term limit for the chief minister’s tenure. The limit was approved through amendments to the Penang Constitution in November 2018 as part of efforts to strengthen political governance in the state. Chow also said Article 19 Clause 3 of the state constitution provides that the legislative assembly shall continue for five years from the date of its first sitting unless dissolved earlier. He said the state government believes the current interpretation of the two-term limit is sufficient and does not require any amendment at this time.",280
2,Penang keeps chief minister term limit at two terms,Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2023/07/30/no-amendment-to-constitution-on-2-term-limit-for-cm-says-chow,"State DAP chairman Chow Kon Yeow said party secretary-general Loke Siew Fook would also not agree to amend the state constitution to allow unlimited terms for a chief minister. “I don’t know who made the suggestion but obviously DAP will not allow it to happen,” he told reporters after officiating the Pakatan Harapan (PH) operations centre for the Perai constituency here today. He was addressing claims there were efforts to amend the state constitution to allow former chief ministers who have served two terms to be reappointed to that position. The Penang state legislative assembly had passed an amendment to the state constitution limiting the chief minister to two terms of service. On claims that the state executive council lineup had already been decided, Chow, who is also Penang PH chairman, said that it would only be decided if they were victorious in the upcoming state elections. “If we win and I can be sworn in as chief minister, only then can we think of a lineup as it will involve all winning parties, not just DAP,” he said. DAP had won all 19 state seats they contested in the 14th general election. Stay current - Follow FMT on WhatsApp, Google news and Telegram Subscribe to our newsletter and get news delivered to your mailbox. Registration on or use of this site constitutes acceptance of our Terms of Service, Privacy Policy and Cookies Policy. Copyright © 2009 - 2026 FMT Media Sdn Bhd (1235453-U) All Rights Reserved.",247
2,Penang keeps chief minister term limit at two terms,The Edge Malaysia,https://theedgemalaysia.com/node/803015,"The Penang state government has no plans to amend the chief minister's term limit from two terms to 10 years. Chief Minister Chow Kon Yeow said the existing provisions in the state constitution are already clear regarding the term limit for the position. He referred to Article 7, Clause 2(a) of the Penang State Constitution, which stipulates that the Yang di-Pertua Negeri shall appoint a state legislative assembly member as chief minister, provided that the individual commands majority confidence and has never held the position for two terms. ""If the state legislative assembly is dissolved before a term reaches its full five years, the term 'two terms' should be understood as the cumulative total of years served in the first and second terms. ""That total may be less than 10 years, but it must not exceed 10 years,"" he explained at the state legislative assembly sitting on Monday. Chow was responding to a question from Lee Khai Loon (PH-Machang Bubuk) on whether the state government is prepared to amend the Chief Minister's term limit to 10 years. He noted that Article 19, Clause 3 of the Penang State Constitution also provides that the state legislative assembly shall run for five years from the date of its first sitting, unless dissolved earlier. ""The state government is of the view that the current interpretation of the two-term limit is sufficient and does not require any amendment for now,"" Chow said. Penang is the first state in Malaysia to officially limit the chief minister's term to two terms, following an amendment to the state constitution passed in November 2018 to strengthen political governance. Uploaded by Chng Shear Lane Copyright © 1999-2026 The Edge Communications Sdn. Bhd. 199301012242 (266980-X). All rights reserved",288
